"cartridge_id","cartridge_name","parent_cartridge_id","rim_type_id","cartridge_type_id","bullet_diameter","neck_diameter","shoulder_diameter","base_diameter","rim_diameter","rim_thickness","case_length","overall_length","case_capacity_gr_h2o","pressure_psi","length_to_shoulder","length_to_neck","ql_type_of_cartridge_spec","image_name","Unknown_1","Unknown_2","Unknown_3","Unknown_4","Unknown_5",,
140,".35 Winchester Self-loading",,4,2,0.351,0.377,,0.381,0.405,0.05,1.154,1.65,,,,,,,,,,,,,
141,".350 Remington Magnum",25,5,1,0.358,0.388,0.495,0.532,0.532,,2.17,2.8,,,,,,,,,,,,,
142,".356 Winchester",110,4,1,0.358,0.388,0.454,0.4703,0.506,0.048,2.015,2.56,,,,,,,,,,,,,
143,".358 Norma Magnum",99,5,1,0.359,0.388,0.49,0.513,0.531,,2.52,3.346,,,,,,,,,,,,,
144,".351 Winchester Self-Loading",,4,2,0.352,0.373,,0.377,0.407,0.05,1.375,1.906,,37000,,,,,,,,,,,
145,".357 Magnum",156,2,2,0.357,0.379,,0.379,0.44,0.06,1.29,1.59,,35000,,,,,,,,,,,
146,".357 Sig",48,1,1,0.355,0.381,0.424,0.424,0.424,0.055,0.865,1.14,19.6,40000,,,,,,,,,,,
147,".358 Winchester",37,1,1,0.358,0.388,0.454,0.47,0.473,0.054,2.015,2.78,,52000,,,,,,,,,,,
148,".375 H&H Magnum",,5,1,0.375,0.404,0.448,0.513,0.532,0.05,2.85,3.6,95.3,62000,,,,,,,,,,,
149,".375 Ruger",,1,1,0.375,0.405,0.515,0.532,0.532,0.05,2.58,3.34,99,62000,,,,,,,,,,,
150,".375 Winchester",159,2,3,0.375,0.4,,0.42,0.506,0.063,2.02,2.56,,,,,,,,,,,,,
151,".375 Remington Ultra Magnum",101,3,1,0.375,0.405,0.525,0.55,0.534,,2.85,3.6,,65000,,,,,,,,,,,
